call_id,call_datetime,call_date,call_month,call_hour,agent_id,phone_number,customer_age_group,customer_gender,call_result,product_id,call_duration_min,is_duplicate_call
C00079,2024-06-05 11:46,2024-06-05,2024-06,11,A014,080-7132-1482,40代,男性,成約,P004,20.0,0
C00080,2024-05-15 18:31,2024-05-15,2024-05,18,A004,090-3496-4908,40代,女性,断り,,15.0,1
C00081,2024-06-14 10:12,2024-06-14,2024-06,10,A003,080-8513-7852,50代,女性,断り,,11.0,1
C00082,2024-04-01 14:44,2024-04-01,2024-04,14,A009,070-4257-9928,50代,女性,成約,P001,12.0,1
C00083,2024-06-24 15:25,2024-06-24,2024-06,15,A003,080-7586-6312,50代,女性,成約,P004,13.0,1
C00084,2024-04-25 14:02,2024-04-25,2024-04,14,A006,070-2075-4085,60代以上,男性,検討中,P002,13.0,0
C00085,2024-12-23 19:15,2024-12-23,2024-12,19,A004,070-8245-3389,40代,男性,不在,,1.0,1
C00086,2024-05-31 12:01,2024-05-31,2024-05,12,A001,090-7911-9633,50代,女性,不在,,1.0,0
C00087,2024-10-17 12:11,2024-10-17,2024-10,12,A009,070-6327-5536,40代,女性,不在,,1.0,1
C00088,2024-07-05 17:16,2024-07-05,2024-07,17,A012,080-3278-4083,60代以上,男性,断り,,8.0,1
C00089,2024-07-01 11:44,2024-07-01,2024-07,11,A009,070-1672-6688,50代,男性,成約,P006,17.0,0
C00090,2024-09-16 16:34,2024-09-16,2024-09,16,A015,070-8575-6049,50代,男性,検討中,P005,6.0,0
C00091,2024-10-21 18:29,2024-10-21,2024-10,18,A005,070-7162-2161,40代,男性,不在,,1.0,1
C00092,2024-10-14 14:41,2024-10-14,2024-10,14,A001,070-3320-2817,50代,男性,成約,P003,25.0,0
C00093,2024-07-01 11:46,2024-07-01,2024-07,11,A011,080-8699-5771,20代,女性,検討中,P003,14.0,0
C00094,2024-03-11 19:13,2024-03-11,2024-03,19,A012,090-2912-2512,40代,女性,不在,,1.0,1
C00095,2024-10-18 17:32,2024-10-18,2024-10,17,A004,090-6563-7292,40代,女性,コールバック希望,P002,15.0,1
C00096,2024-01-29 17:22,2024-01-29,2024-01,17,A010,070-8276-9247,60代以上,男性,断り,,15.0,1
C00097,2024-03-25 17:15,2024-03-25,2024-03,17,A007,090-9740-4602,20代,女性,コールバック希望,P002,5.0,0
C00098,2024-02-15 11:25,2024-02-15,2024-02,11,A006,070-9641-5907,40代,女性,断り,,13.0,1
C00099,2024-08-30 12:21,2024-08-30,2024-08,12,A012,080-2052-8363,30代,女性,検討中,P003,8.0,1
C00100,2024-02-16 12:25,2024-02-16,2024-02,12,A008,070-5240-2228,40代,女性,検討中,P003,13.0,1
C00101,2024-02-19 15:01,2024-02-19,2024-02,15,A013,070-7987-5638,60代以上,男性,不在,,0.0,1
C00102,2024-03-27 10:33,2024-03-27,2024-03,10,A002,090-4920-3594,30代,女性,成約,P003,22.0,0
C00103,2024-04-08 16:31,2024-04-08,2024-04,16,A003,070-9728-8106,20代,男性,成約,P002,21.0,1
C00104,2024-04-01 18:45,2024-04-01,2024-04,18,A010,090-7464-7898,40代,女性,不在,,0.0,1
C00105,2024-01-22 18:56,2024-01-22,2024-01,18,A010,080-2574-7020,60代以上,女性,コールバック希望,P001,15.0,1
C00106,2024-12-16 12:33,2024-12-16,2024-12,12,A006,070-8878-2178,30代,男性,成約,P001,25.0,1
C00107,2024-12-03 15:24,2024-12-03,2024-12,15,A008,090-4323-1057,50代,男性,不在,,0.0,1
C00108,2024-07-08 12:52,2024-07-08,2024-07,12,A004,080-4080-2121,40代,女性,断り,,15.0,0
C00109,2024-09-02 17:58,2024-09-02,2024-09,17,A015,070-4969-8171,不明,男性,不在,,0.0,0
C00110,2024-09-26 15:44,2024-09-26,2024-09,15,A015,080-4104-4164,50代,男性,断り,,9.0,1
C00111,2024-03-11 14:12,2024-03-11,2024-03,14,A006,080-2108-9618,40代,女性,検討中,P006,9.0,0
C00112,2024-01-15 14:20,2024-01-15,2024-01,14,A008,080-4474-3467,不明,女性,断り,,12.0,0
C00113,2024-12-16 16:33,2024-12-16,2024-12,16,A013,080-9397-1287,60代以上,女性,不在,,0.0,1
C00114,2024-11-25 13:03,2024-11-25,2024-11,13,A003,090-3641-7732,60代以上,女性,断り,,3.0,1
C00115,2024-10-02 11:52,2024-10-02,2024-10,11,A006,090-2056-4239,50代,男性,不在,,1.0,0
C00116,2024-12-16 16:58,2024-12-16,2024-12,16,A006,090-5016-9806,50代,女性,検討中,P004,5.0,1
C00117,2024-04-15 14:36,2024-04-15,2024-04,14,A012,070-1060-8381,20代,女性,不在,,0.0,1
C00118,2024-12-18 11:18,2024-12-18,2024-12,11,A015,080-2848-6149,50代,女性,成約,P002,31.0,1
C00119,2024-04-26 13:53,2024-04-26,2024-04,13,A007,070-2426-6460,30代,男性,断り,,5.0,1
C00120,2024-08-05 16:45,2024-08-05,2024-08,16,A015,080-4671-1407,30代,女性,不在,,1.0,1
C00121,2024-01-08 14:26,2024-01-08,2024-01,14,A012,090-8240-9570,不明,女性,断り,,6.0,1
C00122,2024-01-08 16:25,2024-01-08,2024-01,16,A010,070-5434-3337,50代,男性,成約,P004,14.0,1
C00123,2024-02-28 11:57,2024-02-28,2024-02,11,A011,080-6342-1380,30代,女性,不在,,0.0,0
C00124,2024-05-13 19:45,2024-05-13,2024-05,19,A012,070-6327-5536,40代,女性,コールバック希望,P004,7.0,1
C00125,2024-03-04 14:56,2024-03-04,2024-03,14,A002,070-7194-5267,50代,男性,コールバック希望,P001,11.0,1
C00126,2024-01-19 14:06,2024-01-19,2024-01,14,A009,070-6053-1744,30代,男性,成約,P001,22.0,1
C00127,2024-11-11 13:47,2024-11-11,2024-11,13,A007,080-5684-8558,20代,男性,成約,P005,34.0,1
C00128,2024-06-11 10:00,2024-06-11,2024-06,10,A012,080-6968-8516,60代以上,女性,コールバック希望,P003,7.0,1
C00129,2024-11-25 11:24,2024-11-25,2024-11,11,A004,090-8992-4812,20代,男性,検討中,P003,11.0,1
C00130,2024-12-02 17:01,2024-12-02,2024-12,17,A006,070-3717-9423,50代,女性,不在,,0.0,1
C00131,2024-03-14 15:20,2024-03-14,2024-03,15,A003,090-7055-5744,40代,男性,成約,P006,23.0,0
C00132,2024-06-13 13:09,2024-06-13,2024-06,13,A012,080-6974-1653,20代,男性,コールバック希望,P006,6.0,1
C00133,2024-07-17 17:07,2024-07-17,2024-07,17,A014,070-2333-6707,40代,男性,不在,,0.0,1
C00134,2024-09-02 18:41,2024-09-02,2024-09,18,A011,080-6218-3662,40代,女性,断り,,13.0,1
C00135,2024-09-09 16:22,2024-09-09,2024-09,16,A011,090-8925-7168,40代,男性,コールバック希望,P006,10.0,1
C00136,2024-07-03 12:18,2024-07-03,2024-07,12,A009,080-8999-1942,60代以上,女性,不在,,0.0,0
C00137,2024-03-25 13:01,2024-03-25,2024-03,13,A015,080-6885-4087,30代,女性,断り,,7.0,0
C00138,2024-10-04 18:25,2024-10-04,2024-10,18,A012,080-4847-8715,30代,女性,成約,P006,23.0,0
C00139,2024-08-01 14:28,2024-08-01,2024-08,14,A015,090-5177-5270,40代,女性,断り,,9.0,1
C00140,2024-07-23 12:33,2024-07-23,2024-07,12,A011,080-2594-3144,不明,男性,検討中,P002,14.0,0
C00141,2024-08-26 15:48,2024-08-26,2024-08,15,A015,070-9814-4471,40代,男性,不在,,1.0,1
C00142,2024-08-28 11:41,2024-08-28,2024-08,11,A003,070-1781-2253,不明,女性,断り,,15.0,0
C00143,2024-04-22 13:56,2024-04-22,2024-04,13,A004,080-4287-5777,40代,女性,検討中,P004,11.0,0
C00144,2024-04-15 13:42,2024-04-15,2024-04,13,A012,090-5915-8491,40代,男性,検討中,P006,13.0,0
C00145,2024-04-11 12:20,2024-04-11,2024-04,12,A010,080-9020-7830,30代,女性,断り,,14.0,1
C00146,2024-11-11 15:40,2024-11-11,2024-11,15,A010,090-2668-1914,50代,男性,不在,,0.0,1
C00147,2024-01-29 13:05,2024-01-29,2024-01,13,A001,080-5742-5623,不明,男性,検討中,P003,6.0,1
C00148,2024-02-05 13:58,2024-02-05,2024-02,13,A014,090-8834-3509,30代,男性,検討中,P004,10.0,1
C00149,2024-02-21 17:10,2024-02-21,2024-02,17,A005,090-4539-6882,40代,女性,コールバック希望,P002,5.0,0
C00150,2024-10-09 16:44,2024-10-09,2024-10,16,A009,080-8311-4515,60代以上,男性,コールバック希望,P006,6.0,1
C00151,2024-01-22 12:24,2024-01-22,2024-01,12,A002,070-1855-5831,30代,男性,断り,,10.0,0
C00152,2024-08-13 15:11,2024-08-13,2024-08,15,A015,080-3996-2865,60代以上,女性,断り,,3.0,1
C00153,2024-07-08 11:08,2024-07-08,2024-07,11,A002,070-7704-2752,60代以上,男性,不在,,1.0,0
C00154,2024-06-13 13:50,2024-06-13,2024-06,13,A011,070-5803-6925,40代,女性,コールバック希望,P001,8.0,1
C00155,2024-10-29 14:10,2024-10-29,2024-10,14,A010,090-7270-3181,30代,女性,断り,,7.0,0
C00156,2024-01-15 14:57,2024-01-15,2024-01,14,A015,090-9092-9169,50代,女性,成約,P006,17.0,1
C00157,2024-06-21 10:47,2024-06-21,2024-06,10,A007,070-8844-3121,50代,女性,コールバック希望,P006,10.0,0
C00158,2024-03-07 18:59,2024-03-07,2024-03,18,A001,070-8354-6181,30代,男性,不在,,0.0,0
C00159,2024-07-17 10:43,2024-07-17,2024-07,10,A007,090-4751-7276,40代,女性,検討中,P004,60.0,1
C00160,2024-06-24 12:22,2024-06-24,2024-06,12,A012,090-5494-1745,40代,女性,不在,,0.0,0
C00161,2024-08-19 18:05,2024-08-19,2024-08,18,A015,080-8516-9456,50代,男性,不在,,1.0,0
C00162,2024-03-06 17:06,2024-03-06,2024-03,17,A013,080-1534-3569,20代,男性,検討中,P002,8.0,0
C00163,2024-02-08 10:00,2024-02-08,2024-02,10,A014,090-2228-3496,50代,不明,不在,,0.0,0
C00164,2024-11-18 19:29,2024-11-18,2024-11,19,A010,080-1121-9161,50代,男性,不在,,1.0,1
C00165,2024-12-26 12:58,2024-12-26,2024-12,12,A001,080-1430-5381,30代,男性,不在,,0.0,1
C00166,2024-12-17 12:03,2024-12-17,2024-12,12,A007,090-8498-1605,30代,男性,不在,,1.0,0
C00167,2024-04-11 16:31,2024-04-11,2024-04,16,A014,090-3675-7385,40代,男性,不在,,0.0,0
C00168,2024-09-16 10:11,2024-09-16,2024-09,10,A003,080-6603-5864,50代,男性,コールバック希望,P003,5.0,1
C00169,2024-02-08 12:54,2024-02-08,2024-02,12,A012,090-1418-2740,30代,女性,断り,,6.0,1
C00170,2024-11-25 13:27,2024-11-25,2024-11,13,A009,080-4248-5289,30代,男性,検討中,P003,14.0,1
C00171,2024-03-25 11:04,2024-03-25,2024-03,11,A005,080-3170-6718,20代,女性,断り,,14.0,1
C00172,2024-08-16 10:47,2024-08-16,2024-08,10,A011,090-8772-9151,40代,女性,不在,,1.0,0
C00173,2024-05-14 17:20,2024-05-14,2024-05,17,A010,070-2545-6384,50代,女性,断り,,14.0,1
C00174,2024-09-09 13:47,2024-09-09,2024-09,13,A005,090-8399-8485,20代,女性,検討中,P005,5.0,1
C00175,2024-08-26 13:50,2024-08-26,2024-08,13,A008,070-3869-7800,40代,女性,不在,,1.0,0
C00176,2024-03-13 17:24,2024-03-13,2024-03,17,A003,070-8532-3506,50代,女性,断り,,3.0,1
C00177,2024-11-19 12:23,2024-11-19,2024-11,12,A014,070-7156-2449,30代,男性,成約,P006,15.0,1
C00178,2024-01-09 14:09,2024-01-09,2024-01,14,A002,080-3133-8066,40代,男性,検討中,P002,3.0,1
C00179,2024-10-08 13:12,2024-10-08,2024-10,13,A014,080-3087-9322,40代,女性,断り,,14.0,1
C00180,2024-12-06 11:06,2024-12-06,2024-12,11,A008,070-4748-6000,40代,女性,成約,P003,32.0,1
C00181,2024-09-23 18:51,2024-09-23,2024-09,18,A004,070-4218-4170,60代以上,男性,検討中,P004,3.0,1
C00182,2024-06-10 16:27,2024-06-10,2024-06,16,A011,070-4971-6339,不明,女性,不在,,0.0,0
C00183,2024-12-18 18:23,2024-12-18,2024-12,18,A013,080-8800-2645,20代,女性,断り,,10.0,1
C00184,2024-05-06 12:20,2024-05-06,2024-05,12,A007,070-5831-6318,40代,女性,不在,,1.0,1
C00185,2024-06-24 15:21,2024-06-24,2024-06,15,A009,090-9148-1291,60代以上,男性,不在,,0.0,0
C00186,2024-05-07 14:30,2024-05-07,2024-05,14,A014,090-2908-3721,50代,不明,コールバック希望,P003,11.0,1
C00187,2024-06-13 11:31,2024-06-13,2024-06,11,A010,070-6020-4791,30代,女性,断り,,14.0,1
C00188,2024-04-08 17:17,2024-04-08,2024-04,17,A013,070-6185-1232,50代,男性,不在,,1.0,0
C00189,2024-04-24 16:20,2024-04-24,2024-04,16,A004,070-7301-6902,40代,男性,断り,,12.0,1
C00190,2024-09-05 19:38,2024-09-05,2024-09,19,A006,090-1414-7240,40代,男性,コールバック希望,P002,15.0,0
C00191,2024-02-01 17:12,2024-02-01,2024-02,17,A012,090-8992-8101,30代,女性,断り,,11.0,1
C00192,2024-01-08 13:13,2024-01-08,2024-01,13,A012,080-3385-5000,50代,女性,検討中,P001,3.0,0
C00193,2024-08-26 17:09,2024-08-26,2024-08,17,A006,080-3973-8141,40代,不明,断り,,9.0,1
C00194,2024-05-20 14:12,2024-05-20,2024-05,14,A002,070-7292-2429,30代,男性,不在,,1.0,0
C00195,2024-03-04 11:20,2024-03-04,2024-03,11,A001,080-2907-4139,30代,女性,断り,,8.0,1
C00196,2024-11-18 14:20,2024-11-18,2024-11,14,A001,090-1238-6523,40代,男性,断り,,8.0,0
C00197,2024-10-16 17:02,2024-10-16,2024-10,17,A006,070-8272-9006,50代,男性,コールバック希望,P001,14.0,0
C00198,2024-02-05 12:06,2024-02-05,2024-02,12,A002,070-9263-7877,30代,女性,断り,,14.0,1
C00199,2024-02-12 14:48,2024-02-12,2024-02,14,A006,070-9071-1108,20代,女性,成約,P004,27.0,1
C00200,2024-03-20 15:05,2024-03-20,2024-03,15,A012,080-3762-1079,不明,女性,不在,,1.0,1
C00201,2024-01-29 16:35,2024-01-29,2024-01,16,A004,080-1328-6221,30代,男性,成約,P006,32.0,0
C00202,2024-04-29 18:55,2024-04-29,2024-04,18,A004,090-5051-4266,40代,女性,成約,P003,20.0,0
C00203,2024-05-28 14:42,2024-05-28,2024-05,14,A009,090-5749-5778,40代,男性,不在,,1.0,0
C00204,2024-01-19 12:37,2024-01-19,2024-01,12,A010,080-6557-8669,50代,女性,断り,,8.0,1
C00205,2024-03-25 14:09,2024-03-25,2024-03,14,A015,090-8133-4308,50代,女性,断り,,13.0,1
C00206,2024-07-10 15:10,2024-07-10,2024-07,15,A009,090-9996-1002,30代,女性,不在,,1.0,1
C00207,2024-03-04 16:28,2024-03-04,2024-03,16,A007,090-5269-9904,50代,不明,成約,P005,30.0,1
C00208,2024-02-27 10:51,2024-02-27,2024-02,10,A003,080-2657-1343,50代,女性,成約,P002,16.0,1
C00209,2024-10-30 17:23,2024-10-30,2024-10,17,A015,080-1379-2475,40代,女性,断り,,13.0,1
C00210,2024-01-15 13:13,2024-01-15,2024-01,13,A009,090-9561-7874,30代,女性,不在,,1.0,1
C00211,2024-07-19 15:10,2024-07-19,2024-07,15,A008,090-6154-8389,40代,男性,コールバック希望,P004,11.0,0
C00212,2024-02-26 18:54,2024-02-26,2024-02,18,A010,090-1040-3523,60代以上,男性,成約,P001,10.0,1
C00213,2024-07-15 17:10,2024-07-15,2024-07,17,A008,070-4932-2534,40代,女性,成約,P003,16.0,1
C00214,2024-05-23 14:01,2024-05-23,2024-05,14,A002,070-7139-2850,30代,女性,検討中,P001,4.0,1
C00215,2024-04-15 11:40,2024-04-15,2024-04,11,A015,090-9305-4648,50代,不明,不在,,0.0,1
C00216,2024-02-27 11:15,2024-02-27,2024-02,11,A001,090-7882-9031,50代,女性,断り,,12.0,1
C00217,2024-12-25 15:04,2024-12-25,2024-12,15,A001,090-1618-9745,30代,女性,不在,,0.0,1
C00218,2024-01-22 14:53,2024-01-22,2024-01,14,A001,070-8518-5215,60代以上,男性,断り,,5.0,0
C00219,2024-05-23 16:46,2024-05-23,2024-05,16,A013,080-2347-2815,30代,女性,断り,,15.0,1
C00220,2024-12-19 14:00,2024-12-19,2024-12,14,A004,090-7387-6068,50代,女性,コールバック希望,P001,12.0,0
C00221,2024-09-09 17:45,2024-09-09,2024-09,17,A012,070-8242-1845,30代,男性,不在,,0.0,1
C00222,2024-08-29 15:23,2024-08-29,2024-08,15,A008,070-6426-1517,50代,男性,不在,,1.0,1
C00223,2024-11-25 13:11,2024-11-25,2024-11,13,A012,090-4496-8812,40代,女性,断り,,8.0,0
C00224,2024-12-10 17:31,2024-12-10,2024-12,17,A003,090-7342-7180,40代,女性,不在,,1.0,1
C00225,2024-05-09 18:21,2024-05-09,2024-05,18,A010,070-9399-3445,40代,男性,コールバック希望,P006,10.0,1
C00226,2024-09-16 18:40,2024-09-16,2024-09,18,A006,070-7209-6511,40代,不明,成約,P003,27.0,1
C00227,2024-04-15 17:25,2024-04-15,2024-04,17,A014,090-3837-1138,60代以上,男性,成約,P004,13.0,0
C00228,2024-10-21 10:59,2024-10-21,2024-10,10,A002,070-9422-9833,50代,女性,断り,,5.0,1
C00229,2024-06-17 17:51,2024-06-17,2024-06,17,A002,090-8310-3608,不明,女性,断り,,9.0,1
C00230,2024-06-28 17:44,2024-06-28,2024-06,17,A010,070-8842-9612,30代,女性,不在,,0.0,0
C00231,2024-12-23 18:12,2024-12-23,2024-12,18,A014,090-6777-5933,40代,男性,不在,,0.0,1
C00233,2024-01-16 13:13,2024-01-16,2024-01,13,A001,080-3192-6615,20代,女性,検討中,P006,4.0,1
C00234,2024-07-02 16:00,2024-07-02,2024-07,16,A007,070-6927-1487,30代,女性,不在,,1.0,0
C00235,2024-08-07 16:58,2024-08-07,2024-08,16,A005,070-2821-6427,40代,女性,断り,,60.0,1
C00236,2024-06-12 13:16,2024-06-12,2024-06,13,A008,070-1579-6666,50代,男性,不在,,1.0,1
C00237,2024-10-28 16:22,2024-10-28,2024-10,16,A012,070-2258-9419,不明,女性,コールバック希望,P006,10.0,0
C00238,2024-02-14 14:34,2024-02-14,2024-02,14,A008,080-1745-6468,50代,男性,成約,P002,33.0,1
C00239,2024-06-21 12:30,2024-06-21,2024-06,12,A007,090-1976-6723,50代,女性,成約,P003,27.0,1
C00240,2024-07-29 11:43,2024-07-29,2024-07,11,A010,070-6890-4871,20代,女性,成約,P006,34.0,1
C00241,2024-04-02 14:44,2024-04-02,2024-04,14,A009,070-3134-6426,不明,男性,断り,,15.0,1
C00242,2024-03-01 16:31,2024-03-01,2024-03,16,A010,090-3623-6422,50代,男性,検討中,P004,60.0,1
C00243,2024-06-18 14:43,2024-06-18,2024-06,14,A010,080-7038-5295,40代,男性,成約,P001,16.0,1
C00244,2024-12-02 18:49,2024-12-02,2024-12,18,A007,080-5735-4396,30代,女性,検討中,P003,5.0,1
C00245,2024-08-15 17:58,2024-08-15,2024-08,17,A012,070-8063-8132,30代,男性,成約,P002,14.0,0
